NDC2,GENERIC_NAME,BRAND_NAME,CHEMOCAT2,CHEMO_TYPE,STUDY_DRUG,TREATMENT_TYPE,CHEMOTHERAPY,DATE_ADDED
68158014951,ABARELIX,PLENAXIS INJ 100MG,ABARELIX,R,0,H,N,4/25/2011
00003218811,ABATACEPT,ORENCIA INJ 125MG/ML UD,ABATACEPT,O,0,B,N,6/16/2014
00003218831,ABATACEPT,ORENCIA INJ 125MG/ML UD,ABATACEPT,O,0,B,N,6/16/2014
00003218710,ABATACEPT,ORENCIA INJ 250MG UD,ABATACEPT,O,0,B,N,5/21/2012
00003218851,ABATACEPT 125 MG/ML SUBCUTANEOUS AUTO-INJECTOR,ORENCIA CLICKJECT 125 MG/ML SUBQ AUTOINJECTOR,ABATACEPT,O,0,B,N,2/1/2017
05789415012,ABIRATERONE 250 MG TABLET,ZYTIGA 250 MG TABLET,ABIRATERONE,R,0,H,N,3/31/2016
57894019506,ABIRATERONE 500 MG TABLET,ZYTIGA 500 MG ORAL TAB,ABIRATERONE,R,0,H,N,5/23/2017
57894015012,ABIRATERONE ACETATE TAB 250 MG,ZYTIGA TAB 250MG,ABIRATERONE,R,0,H,N,5/21/2012
64116001101,Interferon Gamma-1B,ACTIMMUNE INJ 2MMIU/.5 UD,ACTIMMUNE,I,0,O,N,4/25/2011
64116001112,Interferon Gamma-1B,ACTIMMUNE INJ 2MU/0.5 UD,ACTIMMUNE,I,0,O,N,4/25/2011
42238011101,Interferon Gamma-1B,Interferon Gamma-1B Inj 100 MCG/0.5ML (2000000 Unit/0.5ML),ACTIMMUNE,I,0,O,N,6/16/2014
42238011112,Interferon Gamma-1B,Interferon Gamma-1B Inj 100 MCG/0.5ML (2000000 Unit/0.5ML),ACTIMMUNE,I,0,O,N,6/16/2014
50242005214,"INTERFERON GAMMA-1B,RECOMB.",~ACTIMMUNE 3MMU/0.5ML VIAL,ACTIMMUNE,I,0,O,N,3/31/2016
50242005223,"INTERFERON GAMMA-1B,RECOMB.",~ACTIMMUNE 3MMU/0.5ML VIAL(#12 VIALS,ACTIMMUNE,I,0,O,N,3/31/2016
00597013730,Afatinib,GILOTRIF,AFATINIB,O,0,C,Y,6/16/2014
00597013830,Afatinib,GILOTRIF,AFATINIB,O,0,C,Y,6/16/2014
00597014130,Afatinib,GILOTRIF,AFATINIB,O,0,C,Y,6/16/2014
61755000502,AFLIBERCEPT,EYLEA INJ 2/0.05ML UD,AFLIBERCEPT,O,0,B,Y,7/17/2015
00024584001,AFLIBERCEPT,ZIV-AFLIBERCEPT IV SOLN 100 MG/4ML (For Infusion),AFLIBERCEPT,O,0,B,Y,4/22/2013
00024584101,AFLIBERCEPT,ZIV-AFLIBERCEPT IV SOLN 200 MG/8ML (For Infusion),AFLIBERCEPT,O,0,B,Y,4/22/2013
06175500502,AFLIBERCEPT 2 MG/0.05 ML INTRAVITREAL SO,EYLEA 2 MG/0.05 ML INTRAVITREAL SOLU,AFLIBERCEPT,O,0,B,Y,3/31/2016
54868559600,ALDESLEUKIN,PROLEUKIN,ALDESLEUKIN,I,0,C,Y,4/25/2011
53905099110,ALDESLEUKIN,PROLEUKIN 22MIU SOLR,ALDESLEUKIN,I,0,C,Y,4/25/2011
53905099101,ALDESLEUKIN,PROLEUKIN INJ 22MIU UD,ALDESLEUKIN,I,0,C,Y,4/25/2011
00078049561,ALDESLEUKIN,PROLEUKIN INJ 22MU UD,ALDESLEUKIN,I,0,C,Y,4/25/2011
65483011607,ALDESLEUKIN,PROLEUKIN INJ 22MU UD,ALDESLEUKIN,I,0,C,Y,5/31/2012
99999015549,,"ALDESLEUKIN 18,000,000 UNIT/ML IN SW INJ SYRINGE",ALDESLEUKIN,I,0,C,Y,2/1/2017
44778075201,,"ALDESLEUKIN 220 MCG/ML (3,670,000 UNIT/ML) INJ SOLN",ALDESLEUKIN,I,0,C,Y,2/1/2017
50242013001,ALECTINIB HCL,ALECENSA,ALECTINIB,O,0,C,Y,3/31/2016
58468035701,ALEMTUZUMAB,ALEMTUZUMAB IV INJ 30 MG/ML (FOR INFUSION),ALEMTUZUMAB,O,0,B,Y,4/22/2013
58468035703,ALEMTUZUMAB,ALEMTUZUMAB IV INJ 30 MG/ML (FOR INFUSION),ALEMTUZUMAB,O,0,B,Y,4/22/2013
50419035512,ALEMTUZUMAB,CAMPATH,ALEMTUZUMAB,O,0,B,Y,4/25/2011
50419035510,ALEMTUZUMAB,CAMPATH INJ 10MG/ML,ALEMTUZUMAB,O,0,B,Y,4/25/2011
50419035701,ALEMTUZUMAB,CAMPATH INJ 30MG/ML UD,ALEMTUZUMAB,O,0,B,Y,5/31/2012
50419035703,ALEMTUZUMAB,CAMPATH INJ 30MG/ML UD,ALEMTUZUMAB,O,0,B,Y,4/25/2011
05846802001,ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOL,LEMTRADA 12 MG/1.2 ML INTRAVENOUS SO,ALEMTUZUMAB,O,0,B,Y,3/31/2016
58468020001,ALEMTUZUMAB 12 MG/1.2 ML INTRAVENOUS SOLUTION,LEMTRADA 12 MG/1.2 ML IV SOLN,ALEMTUZUMAB,O,0,B,Y,7/17/2015
54746000101,ALFERON N (M.D.V.) 5 Million IU/ML,ALFERON N INJ 5MU/ML,ALFERON,I,0,C,Y,4/25/2011
62224711106,ALLOPURINOL,ALLOPURINOL 100MG TABLETS,ALLOPURINOL,O,0,O,N,6/16/2014
88888008201,ALLOPURINOL,ALLOPURINOL 10MG/ML SUSP,ALLOPURINOL,O,0,O,N,6/16/2014
99999085067,ALLOPURINOL,ALLOPURINOL 10MG/ML SUSP,ALLOPURINOL,O,0,O,N,6/16/2014
99999085068,ALLOPURINOL,ALLOPURINOL 10MG/ML SUSP SF,ALLOPURINOL,O,0,O,N,6/16/2014
88888008301,ALLOPURINOL,ALLOPURINOL 20MG/ML SUSP,ALLOPURINOL,O,0,O,N,6/16/2014
99999085023,ALLOPURINOL,ALLOPURINOL 20MG/ML SUSP,ALLOPURINOL,O,0,O,N,6/16/2014
99999085024,ALLOPURINOL,ALLOPURINOL 20MG/ML SUSP SF,ALLOPURINOL,O,0,O,N,6/16/2014
88888000101,ALLOPURINOL,ALLOPURINOL 50MG/5ML SUSP,ALLOPURINOL,O,0,O,N,6/16/2014
88888008901,ALLOPURINOL,ALLOPURINOL DESENSITIZATION,ALLOPURINOL,O,0,O,N,6/16/2014
88888009001,ALLOPURINOL,ALLOPURINOL DESENSITIZATION,ALLOPURINOL,O,0,O,N,6/16/2014
00364063201,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00364063202,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00378013701,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00378013710,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00524040501,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00591554301,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
00591554310,ALLOPURINOL,ALLOPURINOL TAB 100MG,ALLOPURINOL,O,0,O,N,6/16/2014
