FIELD,NOTES
(patient_id),02 = Connecticut (1973+)
(patient_id),20 = Detroit (1973+)
(patient_id),21 = Hawaii (1973+)
(patient_id),22 = Iowa (1973+)
(patient_id),23 = New Mexico (1973+)
(patient_id),25 = Seattle (1974+)
(patient_id),26 = Utah (1973+)
(patient_id),42 = Kentucky (2000+)
(patient_id),43 = Louisiana (2000+)
(patient_id),44 = New Jersey (2000+)
(patient_id),87 = Georgia
(patient_id),88 = California
(fivepct),Y = Included
(fivepct),N = Not included
(mat_type),A = Alphabetic Match
(mat_type),B = SSN Match
(yobflg1),Y = Agreement between SEER and
(yobflg1),Medicare
(yobflg1),N = Did not agree
(yobflg1),0 (Zero) = Cases matched on SSN
(yobflg1),"U = Unknown, Missing data"
(numdigit),9 = SSN match
(numdigit),U = Unknown
(numdigit),A = digits transposed and matched
(dod_flg),0 = Not dead by 12/14.
(dod_flg),"1 = Dead, both files agree."
(dod_flg),"2 = Dead, off by 1-3 months."
(dod_flg),"3 = Dead, off by 4-6 months."
(dod_flg),"4 = Dead in MEDICARE only,"
(dod_flg),5 = Dead in SEER only.
(dod_flg),6 = Dead but number of months could not
(dob_flg),0 = Both files agree on birth date.
(dob_flg),1 = Birth date off by 1-3 months.
(dob_flg),2 = Birth date off by 4-6 months.
(dob_flg),3 = Birth date off by 7-11 months.
(dob_flg),4 = Birth date off by one year
(dob_flg),5 = Birth date off by 13-23 months
(dob_flg),6 = Birth date off by 2 years
(dob_flg),7 = Birth date off by 25-35 months
(dob_flg),8 = Birth date off by 3 years
(dob_flg),9 = Birth date off by 37+ months
(dob_flg),Blank = Birth date is missing
(linkflag),"1 = 2005 linkage, earliest claim year is 1991"
(linkflag),"2 = 2008 linkage, earliest claim year is 1998"
(linkflag),"3 = 2010 linkage, earliest claim year is 2000"
(linkflag),"4 = 2012 linkage, earliest claim year is 2002"
(linkflag),"5 = 2014 linkage, earliest claim year is 2004"
(linkflag),"6 = 2016 linkage, earliest claim year is 2006"
(m_sex),1 = Male
(m_sex),2 = Female
(race),1 = White
(race),2 = Black
(race),3 = Other
(race),4 = Asian
(race),5 = Hispanic
(race),6 = N. Am. Native
(race),0 = Unknown
(rsncd1),0 = OASI (age)
(rsncd1),1 = DIB (disability)
(rsncd1),2 = ESRD
(rsncd1),3 = DIB/ESRD
(cur_ent),Blank = Not Enrolled
(cur_ent),0 = OASI (age)
(cur_ent),1 = DIB
(cur_ent),2 = ESRD
(cur_ent),3 = DIB/ESRD
(chr_esrd),0 (zero) = No ESRD
(chr_esrd),Y = Source of ESRD
(med_stcd),Blank = Not Enrolled
(med_stcd),10 = Aged
(med_stcd),11 = Aged with ESRD
(med_stcd),20 = Disabled
(med_stcd),21 = Disabled with ESRD
(med_stcd),31 = ESRD only
(vrfydth),N = No
(vrfydth),Y = Yes
(ser_dodm),00 = Alive
(ser_dodm),blank = Unknown month
(ser_dody),0000 = Alive
(ser_dody),2053 = Unknown year
(deathflag),0 = Alive
(origin),0 = Non-Spanish/Non-Hispanic
(origin),1 = Mexican (includes Chicano)
(origin),2 = Puerto Rican
(origin),3 = Cuban
(origin),4 = South or Central American (except
(origin),5 = Other specified Spanish/Hispanic
(origin),"6 = Spanish, NOS; Hispanic, NOS;"
(origin),7 = Spanish surname only (effective with
(origin),8 = Dominican Republic (effective with
(origin),9 = Unknown whether Spanish/Hispanic
(cen_cert),1 = Census tract based on complete and
(cen_cert),2 = Census tract based on residence
